Address,Price,Links,Dates,Details,City
"6574 Nelson Street, Arvada, CO 80004","$799,000 ",https://www.zillow.com/homedetails/6574-Nelson-St-Arvada-CO-80004/13718418_zpid/,"Price cut: $16,000 (Aug 16) From 2023-08-24","7 bds4 ba3,628 sqft",Arvada
"8357 W 68th Lane, Arvada, CO 80004","$1,099,000 ",https://www.zillow.com/homedetails/8357-W-68th-Ln-Arvada-CO-80004/295313612_zpid/,"Price cut: $96,000 (Aug 9) From 2023-08-24","3 bds3 ba3,307 sqft",Arvada
"5356 Quail Way, Arvada, CO 80002","$694,950 ",https://www.zillow.com/homedetails/5356-Quail-Way-Arvada-CO-80002/334526550_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"3 bds3 ba1,840 sqft",Arvada
"13426 W 62nd Drive, Arvada, CO 80004","$950,000 ",https://www.zillow.com/homedetails/13426-W-62nd-Dr-Arvada-CO-80004/13721763_zpid/,9 days on Zillow From 2023-08-24,"5 bds5 ba3,866 sqft",Arvada
"6780 W 84th Circle Unit 63, Arvada, CO 80003","$455,000 ",https://www.zillow.com/homedetails/6780-W-84th-Cir-UNIT-63-Arvada-CO-80003/13694509_zpid/,9 days on Zillow From 2023-08-24,"3 bds3 ba1,680 sqft",Arvada
"14154 W 87th Ln, Arvada, CO 80005","$835,000 ",https://www.zillow.com/homedetails/14154-W-87th-Ln-Arvada-CO-80005/108382809_zpid/,10 days on Zillow From 2023-08-24,"2 bds2 ba3,096 sqft",Arvada
"The Coventry Plan, Ralston Terrace at Arvada Overlook","$619,950+",https://www.zillow.com/community/ralston-terrace-at-arvada-overlook/2067473668_zpid/,Open: Sa: 10:00 AM-5:00... From 2023-08-24,"3 bds3 ba1,774 sqft",Arvada
"Lots 21 and 24 (Cottages): The Briarwood Plan, Sunrise Village at Arvada Overlook","$699,450+",https://www.zillow.com/community/sunrise-village-at-arvada-overlook/2066789065_zpid/,Open: F: 12:00 PM-5:00 ... From 2023-08-24,"3 bds2 ba1,655 sqft",Arvada
"11865 W 66th Place Unit C, Arvada, CO 80004","$525,000 ",https://www.zillow.com/homedetails/11865-W-66th-Pl-APT-C-Arvada-CO-80004/13720146_zpid/,11 days on Zillow From 2023-08-24,"2 bds3 ba3,013 sqft",Arvada
"The Crestone Plan, SaBell","$620,990+",https://www.zillow.com/community/sabell/2071552211_zpid/,Open: W: 10:00 AM-6:00 ... From 2023-08-24,"4 bds4 ba2,183 sqft",Arvada
"7931 W 55th Avenue Unit 310, Arvada, CO 80002","$545,000 ",https://www.zillow.com/homedetails/7931-W-55th-Ave-APT-310-Arvada-CO-80002/71029126_zpid/,12 days on Zillow From 2023-08-24,"2 bds2 ba1,179 sqft",Arvada
"Lots 22 and 23 (Cottages): The Aspen Plan, Sunrise Village at Arvada Overlook","$734,450+",https://www.zillow.com/community/sunrise-village-at-arvada-overlook/2066789067_zpid/,Open: F: 12:00 PM-5:00 ... From 2023-08-24,"3 bds2 ba1,662 sqft",Arvada
"7948 Fenton Street, Arvada, CO 80003","$575,000 ",https://www.zillow.com/homedetails/7948-Fenton-St-Arvada-CO-80003/13703789_zpid/,12 days on Zillow From 2023-08-24,"4 bds2 ba1,412 sqft",Arvada
"8315 Holman Street Unit A, Arvada, CO 80005","$660,000 ",https://www.zillow.com/homedetails/8315-Holman-St-A-Arvada-CO-80005/334527128_zpid/,3D Tour From 2023-08-24,"3 bds3 ba2,792 sqft",Arvada
"17773 W 93rd Place, Arvada, CO 80007","$716,000 ",https://www.zillow.com/homedetails/17773-W-93rd-Pl-Arvada-CO-80007/337566567_zpid/,3D Tour From 2023-08-24,"3 bds2 ba3,476 sqft",Arvada
"9541 Garnett Way, Arvada, CO 80007","$1,222,000 ",https://www.zillow.com/homedetails/9541-Garnett-Way-Arvada-CO-80007/246917018_zpid/,13 days on Zillow From 2023-08-24,"3 bds4 ba6,112 sqft",Arvada
"The Cameron Plan, SaBell","$580,990+",https://www.zillow.com/community/sabell/2071548257_zpid/,Open: W: 10:00 AM-6:00 ... From 2023-08-24,"3 bds4 ba1,982 sqft",Arvada
"8398 Hoyt Way, Arvada, CO 80005","$675,000 ",https://www.zillow.com/homedetails/8398-Hoyt-Way-Arvada-CO-80005/13696061_zpid/,Open: Sat. 12-3pm From 2023-08-24,"3 bds3 ba2,526 sqft",Arvada
"8374 Deframe Court, Arvada, CO 80005","$690,000 ",https://www.zillow.com/homedetails/8374-Deframe-Ct-Arvada-CO-80005/58768288_zpid/,3D Tour From 2023-08-24,"3 bds3 ba2,456 sqft",Arvada
"8073 W 51st Place Unit 303, Arvada, CO 80002","$445,000 ",https://www.zillow.com/homedetails/8073-W-51st-Pl-UNIT-303-Arvada-CO-80002/68064017_zpid/,3D Tour From 2023-08-24,"3 bds2 ba1,485 sqft",Arvada
"17486 W 69th Avenue, Arvada, CO 80007","$2,850,000 ",https://www.zillow.com/homedetails/17486-W-69th-Ave-Arvada-CO-80007/108397952_zpid/,13 days on Zillow From 2023-08-24,"5 bds8 ba8,045 sqft",Arvada
"9805 Ridge Road, Arvada, CO 80002","$600,000 ",https://www.zillow.com/homedetails/9805-Ridge-Rd-Arvada-CO-80002/13730456_zpid/,3D Tour From 2023-08-24,"3 bds2 ba1,320 sqft",Arvada
"7913 Orion Way, Arvada, CO 80007","$1,125,000 ",https://www.zillow.com/homedetails/7913-Orion-Way-Arvada-CO-80007/13678072_zpid/,14 days on Zillow From 2023-08-24,"4 bds4 ba4,332 sqft",Arvada
"7748 Newman Street, Arvada, CO 80005","$784,000 ",https://www.zillow.com/homedetails/7748-Newman-St-Arvada-CO-80005/13700066_zpid/,"Price cut: $15,000 (Aug 17) From 2023-08-24","5 bds3 ba2,832 sqft",Arvada
"8865 W 77th Circle, Arvada, CO 80005","$587,000 ",https://www.zillow.com/homedetails/8865-W-77th-Cir-Arvada-CO-80005/13701011_zpid/,14 days on Zillow From 2023-08-24,"3 bds3 ba2,332 sqft",Arvada
"6946 Jay Street, Arvada, CO 80003","$625,000 ",https://www.zillow.com/homedetails/6946-Jay-St-Arvada-CO-80003/13713262_zpid/,3D Tour From 2023-08-24,"4 bds2 ba2,184 sqft",Arvada
"16848 W 65th Circle, Arvada, CO 80007","$1,300,000 ",https://www.zillow.com/homedetails/16848-W-65th-Cir-Arvada-CO-80007/13706778_zpid/,3D Tour From 2023-08-24,"5 bds4 ba4,248 sqft",Arvada
"8043 Lee Drive Unit 2, Arvada, CO 80005","$449,900 ",https://www.zillow.com/homedetails/8043-Lee-Dr-UNIT-2-Arvada-CO-80005/68063913_zpid/,14 days on Zillow From 2023-08-24,"2 bds2 ba1,389 sqft",Arvada
"15556 W 94th Avenue, Arvada, CO 80007","$750,000 ",https://www.zillow.com/homedetails/15556-W-94th-Ave-Arvada-CO-80007/249094877_zpid/,Open: Sat. 12am-3pm From 2023-08-24,"3 bds3 ba3,220 sqft",Arvada
"6158 Balsam Street, Arvada, CO 80004","$649,990 ",https://www.zillow.com/homedetails/6158-Balsam-St-Arvada-CO-80004/13727263_zpid/,Open: Sat. 12-3pm From 2023-08-24,"5 bds2 ba2,008 sqft",Arvada
"19135 W 84th Place, Arvada, CO 80007","$749,500 ",https://www.zillow.com/homedetails/19135-W-84th-Pl-Arvada-CO-80007/123600468_zpid/,"Price cut: $25,500 (Aug 18) From 2023-08-24","3 bds3 ba3,912 sqft",Arvada
"11653 W 76th Lane, Arvada, CO 80005","$950,000 ",https://www.zillow.com/homedetails/11653-W-76th-Ln-Arvada-CO-80005/54888838_zpid/,"Price cut: $50,000 (Aug 21) From 2023-08-24","5 bds5 ba4,428 sqft",Arvada
"11243 W 67th Avenue, Arvada, CO 80004","$665,000 ",https://www.zillow.com/homedetails/11243-W-67th-Ave-Arvada-CO-80004/13717791_zpid/,Open: Sun. 9:30am-12:30pm From 2023-08-24,"3 bds3 ba1,796 sqft",Arvada
"5696 Van Gordon Way, Arvada, CO 80002","$819,000 ",https://www.zillow.com/homedetails/5696-Van-Gordon-Way-Arvada-CO-80002/334526530_zpid/,14 days on Zillow From 2023-08-24,"4 bds4 ba2,546 sqft",Arvada
"6855 Owens Street, Arvada, CO 80004","$620,000 ",https://www.zillow.com/homedetails/6855-Owens-St-Arvada-CO-80004/13717723_zpid/,Open: Fri. 11am-3pm From 2023-08-24,"5 bds3 ba2,125 sqft",Arvada
"9480 W 77th Place, Arvada, CO 80005","$680,000 ",https://www.zillow.com/homedetails/9480-W-77th-Pl-Arvada-CO-80005/13701575_zpid/,15 days on Zillow From 2023-08-24,"5 bds3 ba2,706 sqft",Arvada
"11350 W 71st Place, Arvada, CO 80004","$775,932 ",https://www.zillow.com/homedetails/11350-W-71st-Pl-Arvada-CO-80004/13717411_zpid/,15 days on Zillow From 2023-08-24,"6 bds3 ba3,806 sqft",Arvada
"5270 Allison Street Unit 4, Arvada, CO 80002","$365,000 ",https://www.zillow.com/homedetails/5270-Allison-St-APT-4-Arvada-CO-80002/13729710_zpid/,15 days on Zillow From 2023-08-24,2 bds1 ba960 sqft,Arvada
"7955 Chase Cir UNIT 188, Arvada, CO 80003","$324,800 ",https://www.zillow.com/homedetails/7955-Chase-Cir-APT-188-Arvada-CO-80003/13703641_zpid/,15 days on Zillow From 2023-08-24,2 bds1 ba900 sqft,Arvada
"5609 Brentwood Street, Arvada, CO 80002","$625,000 ",https://www.zillow.com/homedetails/5609-Brentwood-St-Arvada-CO-80002/13727690_zpid/,15 days on Zillow From 2023-08-24,"3 bds2 ba1,090 sqft",Arvada
"7410 W 62nd Avenue, Arvada, CO 80003","$595,000 ",https://www.zillow.com/homedetails/7410-W-62nd-Ave-Arvada-CO-80003/13726935_zpid/,Open: Fri. 12-3pm From 2023-08-24,"3 bds2 ba1,850 sqft",Arvada
"9591 Sierra Drive, Arvada, CO 80005","$670,000 ",https://www.zillow.com/homedetails/9591-Sierra-Dr-Arvada-CO-80005/13701563_zpid/,"Price cut: $15,000 (Aug 21) From 2023-08-24","5 bds2 ba2,397 sqft",Arvada
"6250 Quail Street, Arvada, CO 80004","$595,000 ",https://www.zillow.com/homedetails/6250-Quail-St-Arvada-CO-80004/13724353_zpid/,3D Tour From 2023-08-24,"5 bds2 ba2,461 sqft",Arvada
"5239 Balsam St, Arvada, CO 80002","$995,000 ",https://www.zillow.com/homedetails/5239-Balsam-St-Arvada-CO-80002/13729529_zpid/,"Price cut: $5,955,000 (Aug 8) From 2023-08-24",1 acres lot,Arvada
"9406 Juniper Way, Arvada, CO 80007","$848,000 ",https://www.zillow.com/homedetails/9406-Juniper-Way-Arvada-CO-80007/119085145_zpid/,Open: Sat. 12-4pm From 2023-08-24,"4 bds4 ba3,698 sqft",Arvada
"7979 Yank Court, Arvada, CO 80005","$2,395,000 ",https://www.zillow.com/homedetails/7979-Yank-Ct-Arvada-CO-80005/108395314_zpid/,18 days on Zillow From 2023-08-24,"4 bds4 ba6,248 sqft",Arvada
"15185 W 68th Place, Arvada, CO 80007","$749,990 ",https://www.zillow.com/homedetails/15185-W-68th-Ave-Arvada-CO-80007/338449316_zpid/,Open: Wednesday - Satur... From 2023-08-24,"3 bds2 ba2,508 sqft",Arvada
"6414 Zinnia Street, Arvada, CO 80004","$589,000 ",https://www.zillow.com/homedetails/6414-Zinnia-St-Arvada-CO-80004/13719587_zpid/,19 days on Zillow From 2023-08-24,"3 bds3 ba2,125 sqft",Arvada
"8095 Iris Street, Arvada, CO 80005","$650,000 ",https://www.zillow.com/homedetails/8095-Iris-St-Arvada-CO-80005/13696447_zpid/,3D Tour From 2023-08-24,"3 bds3 ba2,526 sqft",Arvada
"6252 Pierson Court, Arvada, CO 80004","$579,000 ",https://www.zillow.com/homedetails/6252-Pierson-Ct-Arvada-CO-80004/13724333_zpid/,3D Tour From 2023-08-24,"5 bds2 ba2,415 sqft",Arvada
"11757 W 62nd Avenue, Arvada, CO 80004","$499,000 ",https://www.zillow.com/homedetails/11757-W-62nd-Ave-Arvada-CO-80004/63778852_zpid/,20 days on Zillow From 2023-08-24,"4 bds2 ba2,270 sqft",Arvada
"6184 Brentwood Street, Arvada, CO 80004","$650,000 ",https://www.zillow.com/homedetails/6184-Brentwood-St-Arvada-CO-80004/13727236_zpid/,"Price cut: $20,000 (Aug 21) From 2023-08-24","4 bds2 ba2,564 sqft",Arvada
"Lots 13, 17, and 19 (Parkside): The Aspen Plan, Sunrise Village at Arvada Overlook","$892,450+",https://www.zillow.com/community/sunrise-village-at-arvada-overlook/2066789061_zpid/,Open: F: 12:00 PM-5:00 ... From 2023-08-24,"5 bds3 ba3,057 sqft",Arvada
"5221 Routt Court, Arvada, CO 80002","$818,000 ",https://www.zillow.com/homedetails/5221-Routt-Ct-Arvada-CO-80002/334526439_zpid/,20 days on Zillow From 2023-08-24,"4 bds3 ba3,680 sqft",Arvada
"6714 Depew Street, Arvada, CO 80003","$725,000 ",https://www.zillow.com/homedetails/6714-Depew-St-Arvada-CO-80003/13713969_zpid/,20 days on Zillow From 2023-08-24,"5 bds3 ba2,460 sqft",Arvada
"8238 W 72nd Avenue, Arvada, CO 80005","$670,000 ",https://www.zillow.com/homedetails/8238-W-72nd-Ave-Arvada-CO-80005/13714822_zpid/,Open: Sat. 3-6pm From 2023-08-24,"5 bds4 ba2,929 sqft",Arvada
"11727 W 65th Circle, Arvada, CO 80004","$620,000 ",https://www.zillow.com/homedetails/11727-W-65th-Cir-Arvada-CO-80004/13720111_zpid/,Open: Sat. 10am-12pm From 2023-08-24,"3 bds3 ba2,188 sqft",Arvada
"6876 Brentwood Court, Arvada, CO 80004","$1,175,000 ",https://www.zillow.com/homedetails/6876-Brentwood-Ct-Arvada-CO-80004/295313639_zpid/,3D Tour From 2023-08-24,"5 bds5 ba4,370 sqft",Arvada
"6431 Umber Circle, Arvada, CO 80007","$999,000 ",https://www.zillow.com/homedetails/6431-Umber-Cir-Arvada-CO-80007/68058296_zpid/,Open: Sat. 11am-1pm From 2023-08-24,"5 bds4 ba4,351 sqft",Arvada
"7682 Violet Court, Arvada, CO 80007","$1,425,000 ",https://www.zillow.com/homedetails/7682-Violet-Ct-Arvada-CO-80007/79990020_zpid/,22 days on Zillow From 2023-08-24,"5 bds5 ba5,387 sqft",Arvada
"3820 W 66th Avenue, Arvada, CO 80003","$600,000 ",https://www.zillow.com/homedetails/3820-W-66th-Ave-Arvada-CO-80003/13025360_zpid/,22 days on Zillow From 2023-08-24,"4 bds3 ba2,952 sqft",Arvada
"5309 Allison Street, Arvada, CO 80002","$675,000 ",https://www.zillow.com/homedetails/5309-Allison-St-Arvada-CO-80002/13729519_zpid/,22 days on Zillow From 2023-08-24,3 bds1 ba931 sqft,Arvada
"8925 W 78th Avenue, Arvada, CO 80005","$560,000 ",https://www.zillow.com/homedetails/8925-W-78th-Ave-Arvada-CO-80005/13701118_zpid/,Open: Sat. 11am-2pm From 2023-08-24,"4 bds2 ba1,823 sqft",Arvada
"7107 Wright Court, Arvada, CO 80004","$579,000 ",https://www.zillow.com/homedetails/7107-Wright-Ct-Arvada-CO-80004/13719077_zpid/,23 days on Zillow From 2023-08-24,"3 bds2 ba1,344 sqft",Arvada
"Lots 2, 4, 6, 8, and 10 (Overlook): The Briarwood Plan, Sunrise Village at Arvada Overlook","$753,450+",https://www.zillow.com/community/sunrise-village-at-arvada-overlook/2066789068_zpid/,Open: F: 12:00 PM-5:00 ... From 2023-08-24,"3 bds2 ba1,654 sqft",Arvada
"9780 W 66th Avenue, Arvada, CO 80004","$595,000 ",https://www.zillow.com/homedetails/9780-W-66th-Ave-Arvada-CO-80004/13716431_zpid/,3D Tour From 2023-08-24,"6 bds2 ba1,368 sqft",Arvada
"5174 Queen Court, Arvada, CO 80002","$999,950 ",https://www.zillow.com/homedetails/5174-Queen-Ct-Arvada-CO-80002/334527125_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"4 bds4 ba3,894 sqft",Arvada
"5378 Routt Court Unit A, Arvada, CO 80002","$564,950 ",https://www.zillow.com/homedetails/5378-Routt-St-A-Arvada-CO-80002/334526321_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"3 bds3 ba1,435 sqft",Arvada
"6394 Newland Street, Arvada, CO 80003","$600,000 ",https://www.zillow.com/homedetails/6394-Newland-St-Arvada-CO-80003/13728518_zpid/,26 days on Zillow From 2023-08-24,"4 bds3 ba2,268 sqft",Arvada
"7141 Deframe Court, Arvada, CO 80004","$575,000 ",https://www.zillow.com/homedetails/7141-Deframe-Ct-Arvada-CO-80004/13720370_zpid/,"Price cut: $20,000 (Aug 10) From 2023-08-24","3 bds3 ba2,224 sqft",Arvada
"12961 W 64th Drive Unit A, Arvada, CO 80004","$389,000 ",https://www.zillow.com/homedetails/12961-W-64th-Dr-APT-A-Arvada-CO-80004/13719653_zpid/,3D Tour From 2023-08-24,"2 bds2 ba1,396 sqft",Arvada
"7438 Queen Circle, Arvada, CO 80005","$850,000 ",https://www.zillow.com/homedetails/7438-Queen-Cir-Arvada-CO-80005/13700623_zpid/,"Price cut: $40,000 (Aug 23) From 2023-08-24","3 bds3 ba2,687 sqft",Arvada
"15739 W 95th Place, Arvada, CO 80007","$940,000 ",https://www.zillow.com/homedetails/15739-W-95th-Pl-Arvada-CO-80007/119083667_zpid/,28 days on Zillow From 2023-08-24,"5 bds3 ba4,292 sqft",Arvada
"10915 Allendale Drive, Arvada, CO 80004","$589,000 ",https://www.zillow.com/homedetails/10915-Allendale-Dr-Arvada-CO-80004/13724379_zpid/,3D Tour From 2023-08-24,"3 bds3 ba2,361 sqft",Arvada
"15608 W 95th Avenue, Arvada, CO 80007","$775,000 ",https://www.zillow.com/homedetails/15608-W-95th-Ave-Arvada-CO-80007/119083673_zpid/,3D Tour From 2023-08-24,"3 bds3 ba4,542 sqft",Arvada
"8418 Ames Street, Arvada, CO 80003","$550,000 ",https://www.zillow.com/homedetails/8418-Ames-St-Arvada-CO-80003/13691181_zpid/,Open: Sat. 11am-2pm From 2023-08-24,"4 bds2 ba1,836 sqft",Arvada
"12274 W 56th Place, Arvada, CO 80002","$775,000 ",https://www.zillow.com/homedetails/12274-W-56th-Pl-Arvada-CO-80002/334526756_zpid/,"Price cut: $24,900 (Aug 23) From 2023-08-24","4 bds4 ba2,304 sqft",Arvada
"19986 W 93rd Avenue, Arvada, CO 80007","$825,000 ",https://www.zillow.com/homedetails/19986-W-93rd-Ave-Arvada-CO-80007/121928059_zpid/,"Price cut: $20,000 (Aug 4) From 2023-08-24","4 bds3 ba3,838 sqft",Arvada
"6705 Sheridan Boulevard Unit E, Arvada, CO 80003","$465,000 ",https://www.zillow.com/homedetails/6705-Sheridan-Blvd-UNIT-E-Arvada-CO-80003/61476525_zpid/,29 days on Zillow From 2023-08-24,"3 bds3 ba1,928 sqft",Arvada
"5250 W 53rd Avenue Lot 64, Arvada, CO 80002","$78,000 ",https://www.zillow.com/homedetails/5250-W-53rd-Ave-LOT-64-Arvada-CO-80002/63365971_zpid/,30 days on Zillow From 2023-08-24,2 bds1 ba670 sqft,Arvada
"6554 Upham Street, Arvada, CO 80003","$640,000 ",https://www.zillow.com/homedetails/6554-Upham-St-Arvada-CO-80003/13715640_zpid/,3D Tour From 2023-08-24,"5 bds2 ba2,546 sqft",Arvada
"6455 Devinney Street, Arvada, CO 80004","$749,900 ",https://www.zillow.com/homedetails/6455-Devinney-St-Arvada-CO-80004/13721435_zpid/,31 days on Zillow From 2023-08-24,"5 bds4 ba3,167 sqft",Arvada
"6901 Parfet Street, Arvada, CO 80004","$719,000 ",https://www.zillow.com/homedetails/6901-Parfet-St-Arvada-CO-80004/13717597_zpid/,"Price cut: $5,900 (Aug 22) From 2023-08-24","5 bds3 ba2,590 sqft",Arvada
"9962 W 82nd Place, Arvada, CO 80005","$689,900 ",https://www.zillow.com/homedetails/9962-W-82nd-Pl-Arvada-CO-80005/13696168_zpid/,"Price cut: $10,000 (Aug 22) From 2023-08-24","4 bds4 ba2,586 sqft",Arvada
"6564 W 85th Avenue, Arvada, CO 80003","$699,000 ",https://www.zillow.com/homedetails/6564-W-85th-Ave-Arvada-CO-80003/13691777_zpid/,"Price cut: $16,000 (Aug 22) From 2023-08-24","5 bds3 ba2,688 sqft",Arvada
"5460 Independence Street, Arvada, CO 80002","$615,000 ",https://www.zillow.com/homedetails/5460-Independence-St-Arvada-CO-80002/13730388_zpid/,"Price cut: $10,000 (Aug 14) From 2023-08-24","4 bds2 ba2,410 sqft",Arvada
"6585 Cole Court, Arvada, CO 80004","$675,000 ",https://www.zillow.com/homedetails/6585-Cole-Ct-Arvada-CO-80004/13721210_zpid/,"Price cut: $10,000 (Aug 22) From 2023-08-24","5 bds3 ba2,464 sqft",Arvada
"6921 Kendall St, Arvada, CO 80003","$520,000 ",https://www.zillow.com/homedetails/6921-Kendall-St-Arvada-CO-80003/13713226_zpid/,3D Tour From 2023-08-24,"4 bds3 ba2,048 sqft",Arvada
"9532 Kendrick Way, Arvada, CO 80007","$974,900 ",https://www.zillow.com/homedetails/9532-Kendrick-Way-Arvada-CO-80007/119084569_zpid/,Open: Sat. 11am-1pm From 2023-08-24,"4 bds4 ba4,539 sqft",Arvada
"5223 Arbutus Street, Arvada, CO 80002","$634,900 ",https://www.zillow.com/homedetails/5223-Arbutus-St-Arvada-CO-80002/13732071_zpid/,3D Tour From 2023-08-24,"4 bds3 ba2,078 sqft",Arvada
"6370 Nelson Way, Arvada, CO 80004","$724,950 ",https://www.zillow.com/homedetails/6370-Nelson-St-Arvada-CO-80004/338450433_zpid/,Open: Sa: 10:00 AM-5:00... From 2023-08-24,"3 bds3 ba1,774 sqft",Arvada
"11076 W 72nd Place, Arvada, CO 80005","$949,950 ",https://www.zillow.com/homedetails/11076-W-72nd-Ave-Arvada-CO-80004/338449260_zpid/,Open: F: 12:00 PM-5:00 ... From 2023-08-24,"5 bds3 ba3,057 sqft",Arvada
"11047 W 72nd Place, Arvada, CO 80005","$799,950 ",https://www.zillow.com/homedetails/11047-W-72nd-Ave-Arvada-CO-80005/338449237_zpid/,Open: F: 12:00 PM-5:00 ... From 2023-08-24,"3 bds2 ba1,672 sqft",Arvada
"11055 W 72nd Place, Arvada, CO 80005","$778,450 ",https://www.zillow.com/homedetails/11055-W-72nd-Ave-Arvada-CO-80005/338449256_zpid/,Open: F: 12:00 PM-5:00 ... From 2023-08-24,"3 bds2 ba1,672 sqft",Arvada
"7218 Parfet Court, Arvada, CO 80005","$744,450 ",https://www.zillow.com/homedetails/7218-Parfet-Ct-Arvada-CO-80005/2067468116_zpid/,Open: F: 12:00 PM-5:00 ... From 2023-08-24,"3 bds2 ba1,672 sqft",Arvada
"11057 W 72nd Place, Arvada, CO 80005","$812,978 ",https://www.zillow.com/homedetails/11057-W-72nd-Pl-Arvada-CO-80005/2067468113_zpid/,Open: F: 12:00 PM-5:00 ... From 2023-08-24,"3 bds2 ba1,654 sqft",Arvada
"7208 Parfet Court, Arvada, CO 80005","$699,450 ",https://www.zillow.com/homedetails/7208-Parfet-Ct-Arvada-CO-80005/2067468102_zpid/,Open: F: 12:00 PM-5:00 ... From 2023-08-24,"3 bds2 ba1,654 sqft",Arvada
"11037 W 72nd Place, Arvada, CO 80005","$773,450 ",https://www.zillow.com/homedetails/11037-W-72nd-Pl-Arvada-CO-80005/2067468106_zpid/,Open: F: 12:00 PM-5:00 ... From 2023-08-24,"3 bds2 ba1,672 sqft",Arvada
"7455 Holland Court, Arvada, CO 80005","$581,800 ",https://www.zillow.com/homedetails/7455-Holland-Ct-Arvada-CO-80005/13701724_zpid/,345 days on Zillow From 2023-08-24,"5 bds3 ba2,883 sqft",Arvada
"15174 W 69th Avenue, Arvada, CO 80007","$526,036 ",https://www.zillow.com/homedetails/15174-W-69th-Ave-Arvada-CO-80007/338449333_zpid/,Open: Wednesday - Satur... From 2023-08-24,"2 bds3 ba2,390 sqft",Arvada
"9605 Ralston Road, Arvada, CO 80004","$147,500 ",https://www.zillow.com/homedetails/9605-Ralston-Rd-Arvada-CO-80004/108393356_zpid/,"Price cut: $27,500 (Aug 12) From 2023-08-24",0.25 acres lot,Arvada
"5409 Allison St, Arvada, CO 80002","$595,000 ",https://www.zillow.com/homedetails/5409-Allison-St-Arvada-CO-80002/13729652_zpid/,"Price cut: $55,000 (Aug 2) From 2023-08-24",3 bds-- ba875 sqft,Arvada
"5870 Nelson Court, Arvada, CO 80004","$1,005,000 ",https://www.zillow.com/homedetails/5870-Nelson-Ct-Arvada-CO-80004/13724994_zpid/,"Price cut: $40,000 (Aug 6) From 2023-08-24","3 bds2 ba2,480 sqft",Arvada
"6507 Umber Circle, Arvada, CO 80007","$229,000 ",https://www.zillow.com/homedetails/6507-Umber-Cir-Arvada-CO-80007/96750039_zpid/,"Price cut: $50,000 (May 26) From 2023-08-24","2,614 sqft lot",Arvada
"9312 W 66th Avenue, Arvada, CO 80004","$190,000 ",https://www.zillow.com/homedetails/9312-W-66th-Ave-Arvada-CO-80004/108385130_zpid/,"Price cut: $9,000 (Aug 19) From 2023-08-24",0.33 acres lot,Arvada
"8890 Indiana Street, Arvada, CO 80007","$1,625,000 ",https://www.zillow.com/homedetails/8890-Indiana-St-Arvada-CO-80007/13687354_zpid/,1018 days on Zillow From 2023-08-24,"4 bds2 ba2,342 sqft",Arvada
"4 N Sumner Road Lot 56, Arvada, CO 80403","$495,000 ",https://www.zillow.com/homedetails/4-N-Sumner-Rd-56-Golden-CO-80403/2057536185_zpid/,92 days on Zillow From 2023-08-24,0.62 acres lot,Arvada
"6675 Balsam St, Arvada, CO 80004","$1,400,000 ",https://www.zillow.com/homedetails/6675-Balsam-St-Arvada-CO-80004/2057592469_zpid/,97 days on Zillow From 2023-08-24,"4 bds4 ba4,342 sqft",Arvada
"15134 W 63rd Avenue, Arvada, CO 80403","$2,199,000 ",https://www.zillow.com/homedetails/15134-W-63rd-Ave-Arvada-CO-80403/108380091_zpid/,3D Tour From 2023-08-24,"5 bds5 ba6,005 sqft",Arvada
"8354 Holman Street Unit A, Arvada, CO 80005","$669,000 ",https://www.zillow.com/homedetails/8354-Holman-St-A-Arvada-CO-80005/334526101_zpid/,"Price cut: $6,000 (Aug 2) From 2023-08-24","3 bds3 ba2,991 sqft",Arvada
"15195 W 68th Place, Arvada, CO 80007","$669,990 ",https://www.zillow.com/homedetails/15195-W-68th-Ave-Arvada-CO-80007/338449315_zpid/,Open: Wednesday - Satur... From 2023-08-24,"3 bds2 ba2,508 sqft",Arvada
"9211 W 68th Avenue, Arvada, CO 80004","$715,000 ",https://www.zillow.com/homedetails/9211-W-68th-Ave-Arvada-CO-80004/13716022_zpid/,3D Tour From 2023-08-24,"3 bds3 ba2,501 sqft",Arvada
"5305 N Sheridan Boulevard Lot 80, Arvada, CO 80002","$144,900 ",https://www.zillow.com/homedetails/5305-Sheridan-Blvd-LOT-80-Arvada-CO-80002/119082677_zpid/,"Price cut: $5,000 (Jun 1) From 2023-08-24","3 bds2 ba1,344 sqft",Arvada
"7525 W 61st Ave, Arvada, CO 80003","$600,000 ",https://www.zillow.com/homedetails/7525-W-61st-Ave-Arvada-CO-80003/13726942_zpid/,111 days on Zillow From 2023-08-24,"3 bds1 ba1,283 sqft",Arvada
"5114 Queen Court, Arvada, CO 80002","$879,950 ",https://www.zillow.com/homedetails/5114-Queen-Ct-Arvada-CO-80002/334526979_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"4 bds3 ba3,479 sqft",Arvada
"5104 Queen Court, Arvada, CO 80002","$964,950 ",https://www.zillow.com/homedetails/5104-Queen-Ct-Arvada-CO-80002/334526996_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"4 bds4 ba4,040 sqft",Arvada
